Data,Ato,Cargo,Quantidade,Símbolo,Origem,Destino,Nova Denominação
2026-04-07,Transferência,Assessor Técnico de Contratos de Gestão,1 (um),CAA-2,Secretaria de Saúde,Secretaria de Assistência Social,Coordenador de Vigilância em Segurança Alimentar e Nutricional
2026-04-07,Redenominação,Coordenador de Vigilância em Segurança Alimentar e Nutricional,1 (um),CAA-1,-,-,Coordenador de Parcerias em Segurança Alimentar Nutricional
2026-04-07,Redenominação,Assessor de Equipamentos da Segurança Alimentar e Nutricional,1 (um),CAA-2,-,-,Assessor de Gestão de Pessoas
2026-04-09,Transferência,Chefe do Núcleo Administrativo da Escola de Referência em Ensino Médio,1 (um),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Operacional
2026-04-09,Transferência,Chefe do Núcleo Administrativo da Escola de Referência em Ensino Médio,1 (um),CAA-4,Secretaria de Educação,Departamento Estadual de Trânsito de Pernambuco – DETRAN/PE,Auxiliar Operacional
2026-04-09,Alocação,Secretário Executivo de Planejamento,1 (um),DAS-1,-,Secretaria de Administração Penitenciária e Ressocialização,-
2026-04-15,Alocação,Gerente de Apoio Técnico,1 (um),DAS-4,-,Secretaria da Casa Civil,-
2026-04-15,Alocação,Assessor,4 (quatro),CAA-2,-,Secretaria da Casa Civil,-
2026-04-15,Transferência,Chefe do Núcleo de Laboratório de Ciências da Escola de Referência em Ensino Médio,8 (oito),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Técnico
2026-04-15,Transferência,Chefe do Núcleo Administrativo da Escola de Referência em Ensino Médio,5 (cinco),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Técnico
2026-04-15,Transferência,Assistente de Gerência,1 (um),CAA-3,Secretaria da Mulher,Secretaria da Casa Civil,Assistente Técnico
2026-04-15,Transferência,Assistente Técnico Jurídico de Pessoal,1 (um),CAA-3,Secretaria de Administração,Secretaria da Casa Civil,Assistente Técnico
2026-04-15,Transferência,Assistente Técnico de TI,1 (um),CAA-3,"Secretaria de Assistência Social, Combate à Fome e Política Sobre Drogas",Secretaria da Casa Civil,Assistente Técnico
2026-04-15,Transferência,Assistente Técnico,1 (um),CAA-3,Gabinete da Governadora,Secretaria da Casa Civil,-
2026-04-15,Redenominação,Coordenador de Atenção à Saúde da V Regional de Saúde - GERES – Garanhuns,1 (um),CAA-2,-,-,Coordenador de Vigilância em Saúde da VIII Regional de Saúde - GERES – Petrolina
2026-04-15,Transferência,Coordenador da Unidade de Vigilância de Ambientes e Processos de Trabalho,1 (um),CAA-2,Agência Pernambucana de Vigilância Sanitária e Saúde do Trabalhador - APEVISA,Secretaria de Saúde,Coordenador de Segurança Alimentar e Nutricional Sustentável
2026-04-15,Transferência,Chefe da Unidade de Educação Infantil e dos Anos Iniciais,3 (três),CAA-4,Secretaria de Educação,Secretaria de Saúde,Auxiliar Operacional
2026-04-15,Transferência,Chefe do Núcleo de Laboratório de Ciências da Escola de Referência em Ensino Médio,4 (quatro),CAA-4,Secretaria de Educação,Secretaria de Saúde,Auxiliar Operacional
2026-04-15,Redenominação,Diretor de Comunicação,1 (um),DAS-4,-,-,Diretor de Educação a Distância
2026-04-15,Transferência,Assistente Técnico de Tecnologia da Informação da EGAPE,1 (um),CAA-3,Secretaria de Administração,Secretaria da Casa Civil,Assistente Técnico
2026-04-15,Transferência,Chefe da Unidade de Educação Infantil e dos Anos Iniciais,1 (um),CAA-4,Secretaria de Educação,Secretaria de Saúde,Auxiliar Operacional
2026-04-18,Redenominação,Superintendente de Projetos Especiais,1 (um),DAS-3,-,-,Superintendente de Desenvolvimento Regional
2026-04-18,Redenominação,Gerente da Assessoria Técnica do Gabinete,1 (um),DAS-4,-,-,Gerente do Núcleo Integrado de Comunicação
2026-04-18,Redenominação,Gerente de Gestão de Pessoas,1 (um),DAS-4,-,-,Gerente de Governança e Estratégia
2026-04-18,Redenominação,Gerente de Projetos Especiais,1 (um),DAS-4,-,-,Gerente de Inovação e Estratégia do Instituto de Gestão
2026-04-18,Redenominação,Gestor da Assessoria Técnica do Gabinete,1 (um),DAS-5,-,-,Gestor Técnico da Assessoria de Comunicação
